Date;Cumulative Cases;Cumulative Deaths;Hos;Q;R;Healthcare workers;Imported E1;Imported E2;Evacuated;Undetected Cumulative Deaths;Vaccinated
19-Jan-2020;0;0;0;0;0;0;2;0;0;0;0
20-Jan-2020;0;0;0;0;0;0;0;0;0;0;0
21-Jan-2020;0;0;0;0;0;0;0;0;0;0;0
22-Jan-2020;0;0;0;0;0;0;0;0;0;0;0
23-Jan-2020;0;0;0;0;0;0;0;0;0;0;0
24-Jan-2020;0;0;0;0;0;0;0;0;0;0;0
25-Jan-2020;0;0;0;0;0;0;0;0;0;0;0
26-Jan-2020;0;0;0;0;0;0;1;0;0;0;0
27-Jan-2020;0;0;0;0;0;0;0;0;0;0;0
28-Jan-2020;0;0;0;0;0;0;0;0;0;0;0
29-Jan-2020;0;0;0;0;0;0;0;0;0;0;0
30-Jan-2020;2;0;2;0;0;0;0;0;0;0;0
31-Jan-2020;2;0;2;0;0;0;0;0;0;0;0
01-Feb-2020;2;0;2;0;0;0;0;0;0;0;0
02-Feb-2020;2;0;2;0;0;0;0;0;0;0;0
03-Feb-2020;2;0;2;0;0;0;0;0;0;0;0
04-Feb-2020;2;0;2;0;0;0;0;0;0;0;0
05-Feb-2020;2;0;2;0;0;0;0;0;0;0;0
06-Feb-2020;3;0;3;0;0;0;0;0;0;0;0
07-Feb-2020;3;0;3;0;0;0;0;0;0;0;0
08-Feb-2020;3;0;3;0;0;0;0;0;0;0;0
09-Feb-2020;3;0;3;0;0;0;0;0;0;0;0
10-Feb-2020;3;0;3;0;0;0;0;0;0;0;0
11-Feb-2020;3;0;3;0;0;0;0;0;0;0;0
12-Feb-2020;3;0;3;0;0;0;0;0;0;0;0
13-Feb-2020;3;0;3;0;0;0;0;0;0;0;0
14-Feb-2020;3;0;3;0;0;0;0;0;0;0;0
15-Feb-2020;3;0;3;0;0;0;0;0;0;0;0
16-Feb-2020;3;0;3;0;0;0;0;0;0;0;0
17-Feb-2020;3;0;3;0;0;0;0;0;0;0;0
18-Feb-2020;3;0;3;0;0;0;0;0;0;0;0
19-Feb-2020;3;0;3;0;0;0;0;0;0;0;0
20-Feb-2020;20;1;19;14;0;0;0;0;0;0;0
21-Feb-2020;62;2;59;44;1;0;0;0;0;0;0
22-Feb-2020;155;3;93;69;1;0;0;0;0;0;0
23-Feb-2020;229;7;127;94;1;0;0;0;0;0;0
24-Feb-2020;322;10;150;162;1;0;0;0;0;0;0
25-Feb-2020;400;12;164;221;3;0;0;0;0;0;0
26-Feb-2020;650;17;304;284;45;0;0;0;0;0;0
27-Feb-2020;888;21;409;412;46;0;0;0;0;0;0
28-Feb-2020;1128;29;506;543;50;0;0;0;0;0;0
29-Feb-2020;1694;34;779;798;83;0;0;0;0;0;0
01-Mar-2020;2036;52;908;927;149;0;0;0;0;0;0
02-Mar-2020;2502;79;1263;1000;160;0;0;0;0;0;0
03-Mar-2020;3089;107;1641;1065;276;0;0;0;0;0;0
04-Mar-2020;3858;148;2141;1155;414;0;0;0;0;0;0
05-Mar-2020;4636;197;2856;1060;523;0;0;0;0;0;0
06-Mar-2020;5883;233;3218;1843;589;0;0;0;0;0;0
07-Mar-2020;7375;366;4207;2180;622;0;0;0;0;0;0
08-Mar-2020;9172;463;5049;2936;724;0;0;0;0;0;0
09-Mar-2020;10149;631;5915;2599;1004;0;0;0;0;0;0
10-Mar-2020;12462;827;6866;3724;1045;932;0;0;0;0;0
11-Mar-2020;15113;1016;7803;5036;1258;1116;0;0;0;0;0
12-Mar-2020;17660;1266;8754;6201;1439;1423;0;0;0;0;0
13-Mar-2020;21157;1441;9890;7860;1966;1674;0;0;0;0;0
14-Mar-2020;24747;1809;11335;9268;2335;2026;0;0;0;0;0
15-Mar-2020;27980;2158;12876;10197;2749;2339;0;0;0;0;0
16-Mar-2020;31506;2503;14954;11108;2941;2629;0;0;0;0;0
17-Mar-2020;35713;2978;16620;12090;4025;0;0;0;0;0;0
18-Mar-2020;41035;3405;18255;14935;4440;3559;0;0;0;0;0
19-Mar-2020;47021;4032;18675;19185;5129;0;0;0;0;0;0
20-Mar-2020;53578;4825;20565;22116;6072;4268;0;0;0;0;0
21-Mar-2020;59138;5476;22855;23783;7024;0;0;0;0;0;0
22-Mar-2020;63927;6077;23896;26522;7432;5211;0;0;0;0;0
23-Mar-2020;69176;6820;25333;28697;8326;0;0;0;0;0;0
24-Mar-2020;74386;7503;26601;30920;9362;6205;0;0;0;0;0
25-Mar-2020;80539;8165;28365;33648;10361;0;0;0;0;0;0
